	is_ML	Total
1960-01-01	0	0
1960-01-15	0	472
1960-01-29	0	472
1960-02-12	0	474
1960-02-26	0	474
1960-03-11	0	474
1960-03-25	0	474
1960-04-08	0	474
1960-04-22	0	474
1960-05-06	0	474
1960-05-20	0	474
1960-06-03	0	474
1960-06-17	0	474
1960-07-01	0	474
1960-07-15	0	474
1960-07-29	0	474
1960-08-12	0	474
1960-08-26	0	474
1960-09-09	0	474
1960-09-23	0	474
1960-10-07	0	474
1960-10-21	0	474
1960-11-04	0	474
1960-11-18	0	474
1960-12-02	0	474
1960-12-16	0	474
1960-12-30	0	474
1961-01-13	1	3415
1961-01-27	1	3415
1961-02-10	1	3413
1961-02-24	1	3413
1961-03-10	1	3413
1961-03-24	1	3413
1961-04-07	1	3413
1961-04-21	1	3413
1961-05-05	1	3413
1961-05-19	1	3413
1961-06-02	1	3413
1961-06-16	1	3413
1961-06-30	1	3413
1961-07-14	1	3413
1961-07-28	1	3413
1961-08-11	1	3413
1961-08-25	1	3413
1961-09-08	1	3413
1961-09-22	1	3413
1961-10-06	1	3413
1961-10-20	1	3413
1961-11-03	1	3413
1961-11-17	1	3413
1961-12-01	1	3413
1961-12-15	1	3413
1961-12-29	1	3413
1962-01-12	2	3666
1962-01-26	2	3666
1962-02-09	2	3666
1962-02-23	2	3666
1962-03-09	2	3666
1962-03-23	2	3666
1962-04-06	2	3666
1962-04-20	2	3666
1962-05-04	2	3666
1962-05-18	2	3666
1962-06-01	2	3666
1962-06-15	2	3666
1962-06-29	2	3666
1962-07-13	2	3666
1962-07-27	2	3666
1962-08-10	2	3666
1962-08-24	2	3666
1962-09-07	2	3666
1962-09-21	2	3666
1962-10-05	2	3666
1962-10-19	2	3666
1962-11-02	2	3666
1962-11-16	2	3666
1962-11-30	2	3666
1962-12-14	2	3666
1962-12-28	2	3666
1963-01-11	2	4139
1963-01-25	1	4145
1963-02-08	1	4145
1963-02-22	1	4145
1963-03-08	1	4145
1963-03-22	1	4145
1963-04-05	1	4145
1963-04-19	1	4145
1963-05-03	1	4145
1963-05-17	1	4145
1963-05-31	1	4145
1963-06-14	1	4145
1963-06-28	1	4145
1963-07-12	1	4145
1963-07-26	1	4145
1963-08-09	1	4145
1963-08-23	1	4145
1963-09-06	1	4145
1963-09-20	1	4145
1963-10-04	1	4145
1963-10-18	1	4145
1963-11-01	1	4145
1963-11-15	1	4145
1963-11-29	1	4145
1963-12-13	1	4145
1963-12-27	1	4145
1964-01-10	1	4609
1964-01-24	1	4637
1964-02-07	1	4637
1964-02-21	1	4637
1964-03-06	1	4637
1964-03-20	1	4637
1964-04-03	1	4637
1964-04-17	1	4637
1964-05-01	1	4637
1964-05-15	1	4637
1964-05-29	1	4637
1964-06-12	1	4637
1964-06-26	1	4637
1964-07-10	1	4637
1964-07-24	1	4637
1964-08-07	1	4637
1964-08-21	1	4637
1964-09-04	1	4637
1964-09-18	1	4637
1964-10-02	1	4646
1964-10-16	1	4646
1964-10-30	1	4646
1964-11-13	1	4646
1964-11-27	1	4646
1964-12-11	1	4646
1964-12-25	1	4646
1965-01-08	2	5735
1965-01-22	2	5802
1965-02-05	2	5802
1965-02-19	2	5816
1965-03-05	2	5816
1965-03-19	2	5816
1965-04-02	2	5816
1965-04-16	2	5816
1965-04-30	2	5816
1965-05-14	2	5816
1965-05-28	2	5816
1965-06-11	2	5816
1965-06-25	2	5816
1965-07-09	2	5816
1965-07-23	2	5816
1965-08-06	2	5816
1965-08-20	2	5816
1965-09-03	2	5816
1965-09-17	2	5816
1965-10-01	2	5807
1965-10-15	2	5807
1965-10-29	2	5807
1965-11-12	2	5807
1965-11-26	2	5807
1965-12-10	2	5807
1965-12-24	2	5807
1966-01-07	1	6507
1966-01-21	1	6499
1966-02-04	1	6499
1966-02-18	1	6485
1966-03-04	1	6485
1966-03-18	1	6485
1966-04-01	1	6485
1966-04-15	1	6485
1966-04-29	1	6485
1966-05-13	1	6485
1966-05-27	1	6485
1966-06-10	1	6485
1966-06-24	1	6485
1966-07-08	1	6485
1966-07-22	1	6485
1966-08-05	1	6485
1966-08-19	1	6485
1966-09-02	1	6485
1966-09-16	1	6485
1966-09-30	1	6485
1966-10-14	1	6485
1966-10-28	1	6485
1966-11-11	1	6485
1966-11-25	1	6485
1966-12-09	1	6485
1966-12-23	1	6485
1967-01-06	0	7456
1967-01-20	2	7607
1967-02-03	2	7607
1967-02-17	2	7607
1967-03-03	2	7607
1967-03-17	2	7607
1967-03-31	2	7607
1967-04-14	2	7607
1967-04-28	2	7607
1967-05-12	2	7607
1967-05-26	2	7607
1967-06-09	2	7607
1967-06-23	2	7607
