	is_ML	Total
1960-01-01	0	0
1960-01-15	0	0
1960-01-29	0	54
1960-02-12	0	186
1960-02-26	0	223
1960-03-11	0	374
1960-03-25	0	409
1960-04-08	0	541
1960-04-22	0	593
1960-05-06	0	745
1960-05-20	0	745
1960-06-03	0	821
1960-06-17	0	853
1960-07-01	0	1060
1960-07-15	0	1082
1960-07-29	0	1094
1960-08-12	0	1243
1960-08-26	0	1305
1960-09-09	0	1524
1960-09-23	0	1582
1960-10-07	0	1704
1960-10-21	0	1744
1960-11-04	0	1850
1960-11-18	0	1878
1960-12-02	0	2172
1960-12-16	0	2223
1960-12-30	0	2249
1961-01-13	0	7221
1961-01-27	0	7236
1961-02-10	0	7222
1961-02-24	0	7245
1961-03-10	1	7316
1961-03-24	1	7330
1961-04-07	1	7321
1961-04-21	1	7334
1961-05-05	1	7335
1961-05-19	1	7339
1961-06-02	1	7443
1961-06-16	1	7432
1961-06-30	1	7380
1961-07-14	1	7394
1961-07-28	1	7427
1961-08-11	1	7361
1961-08-25	1	7343
1961-09-08	1	7283
1961-09-22	1	7269
1961-10-06	1	7259
1961-10-20	1	7280
1961-11-03	1	7291
1961-11-17	1	7308
1961-12-01	2	7275
1961-12-15	2	7262
1961-12-29	2	7305
1962-01-12	2	8889
1962-01-26	2	8830
1962-02-09	2	8805
1962-02-23	2	8757
1962-03-09	1	8714
1962-03-23	1	8662
1962-04-06	1	8602
1962-04-20	1	8535
1962-05-04	1	8600
1962-05-18	1	8575
1962-06-01	1	8522
1962-06-15	1	8499
1962-06-29	1	8493
1962-07-13	1	8406
1962-07-27	1	8373
1962-08-10	1	8334
1962-08-24	1	8290
1962-09-07	2	8227
1962-09-21	2	8183
1962-10-05	2	8163
1962-10-19	2	8165
1962-11-02	2	8075
1962-11-16	2	8030
1962-11-30	2	7988
1962-12-14	2	7872
1962-12-28	2	7819
1963-01-11	3	7427
1963-01-25	3	7429
1963-02-08	3	7458
1963-02-22	3	7458
1963-03-08	3	7552
1963-03-22	3	7552
1963-04-05	3	7601
1963-04-19	3	7603
1963-05-03	4	7664
1963-05-17	4	7658
1963-05-31	4	7668
1963-06-14	4	7691
1963-06-28	4	7685
1963-07-12	4	7893
1963-07-26	4	7894
1963-08-09	4	8038
1963-08-23	4	8042
1963-09-06	3	8219
1963-09-20	3	8223
1963-10-04	3	8288
1963-10-18	3	8290
1963-11-01	3	8589
1963-11-15	3	8589
1963-11-29	3	8585
1963-12-13	2	8886
1963-12-27	2	8882
1964-01-10	1	9789
1964-01-24	1	9810
1964-02-07	1	9913
1964-02-21	1	9931
1964-03-06	2	10004
1964-03-20	2	10023
1964-04-03	2	10127
1964-04-17	2	10150
1964-05-01	1	10146
1964-05-15	1	10204
1964-05-29	1	10198
1964-06-12	1	10353
1964-06-26	1	10353
1964-07-10	1	10380
1964-07-24	1	10395
1964-08-07	1	10424
1964-08-21	1	10443
1964-09-04	1	10489
1964-09-18	1	10485
1964-10-02	1	10615
1964-10-16	1	10636
1964-10-30	1	10631
1964-11-13	1	10564
1964-11-27	1	10561
1964-12-11	1	10831
1964-12-25	1	10846
1965-01-08	1	12893
1965-01-22	1	12872
1965-02-05	1	12817
1965-02-19	1	12808
1965-03-05	1	12773
1965-03-19	1	12782
1965-04-02	1	12673
1965-04-16	1	12707
1965-04-30	1	12706
1965-05-14	1	12671
1965-05-28	1	12674
1965-06-11	2	12636
1965-06-25	2	12671
1965-07-09	2	12606
1965-07-23	2	12601
1965-08-06	2	12544
1965-08-20	2	12530
1965-09-03	2	12529
1965-09-17	2	12544
1965-10-01	2	12361
1965-10-15	2	12363
1965-10-29	2	12391
1965-11-12	2	12351
1965-11-26	2	12387
1965-12-10	2	12234
1965-12-24	2	12239
1966-01-07	2	13816
1966-01-21	2	13816
1966-02-04	2	13777
1966-02-18	2	13769
1966-03-04	2	13900
1966-03-18	2	13880
1966-04-01	2	13897
1966-04-15	2	13863
1966-04-29	2	13880
1966-05-13	2	13824
1966-05-27	2	13837
1966-06-10	1	14030
1966-06-24	1	14008
1966-07-08	1	13994
1966-07-22	1	13987
1966-08-05	1	13970
1966-08-19	1	13974
1966-09-02	1	13972
1966-09-16	1	14064
1966-09-30	1	14086
1966-10-14	1	14165
1966-10-28	1	14153
1966-11-11	1	14075
1966-11-25	1	14061
1966-12-09	1	14111
1966-12-23	1	14104
1967-01-06	3	14468
1967-01-20	3	14522
1967-02-03	3	14553
1967-02-17	3	14628
1967-03-03	3	14795
1967-03-17	3	14828
1967-03-31	3	14850
1967-04-14	3	14911
1967-04-28	3	14915
1967-05-12	3	15005
1967-05-26	3	15007
1967-06-09	3	15085
1967-06-23	3	15107
1967-07-07	3	15098
1967-07-21	3	15116
1967-08-04	4	15281
1967-08-18	4	15317
1967-09-01	4	15662
1967-09-15	4	15672
1967-09-29	4	15643
1967-10-13	4	15626
1967-10-27	4	15648
1967-11-10	4	15784
1967-11-24	4	15798
1967-12-08	6	16130
1967-12-22	6	16137
1968-01-05	5	18471
1968-01-19	5	18494
1968-02-02	5	18575
1968-02-16	5	18539
1968-03-01	4	18734
1968-03-15	4	18793
1968-03-29	4	18758
1968-04-12	4	18780
1968-04-26	4	18801
1968-05-10	4	18823
1968-05-24	4	18848
1968-06-07	4	18869
1968-06-21	4	18872
1968-07-05	4	18965
1968-07-19	4	18986
1968-08-02	3	18912
1968-08-16	3	18891
1968-08-30	3	18886
1968-09-13	3	18873
1968-09-27	3	18895
1968-10-11	3	18888
1968-10-25	3	18940
1968-11-08	3	18863
1968-11-22	3	18861
1968-12-06	2	18796
1968-12-20	2	18814
1969-01-03	4	19294
1969-01-17	4	19273
1969-01-31	4	19311
1969-02-14	4	19232
1969-02-28	4	19267
1969-03-14	4	19117
1969-03-28	4	19103
1969-04-11	4	19101
1969-04-25	4	19086
1969-05-09	4	19192
1969-05-23	4	19191
1969-06-06	4	19308
1969-06-20	4	19327
1969-07-04	4	19396
1969-07-18	4	19408
1969-08-01	4	19410
1969-08-15	4	19475
1969-08-29	4	19487
1969-09-12	5	19560
1969-09-26	5	19588
1969-10-10	5	19629
1969-10-24	5	19626
1969-11-07	5	19829
1969-11-21	5	19846
1969-12-05	4	21057
1969-12-19	4	21044
1970-01-02	6	23933
1970-01-16	6	23953
1970-01-30	6	23969
1970-02-13	6	24195
1970-02-27	6	24242
1970-03-13	6	24457
1970-03-27	6	24520
1970-04-10	6	24679
1970-04-24	6	24724
1970-05-08	6	24682
1970-05-22	6	24761
1970-06-05	6	24856
1970-06-19	6	24851
1970-07-03	6	24942
1970-07-17	6	24971
1970-07-31	6	24993
1970-08-14	6	25212
1970-08-28	6	25175
1970-09-11	5	25181
1970-09-25	5	25192
1970-10-09	5	25354
1970-10-23	5	25375
1970-11-06	5	25287
1970-11-20	5	25330
1970-12-04	5	24766
1970-12-18	5	24849
1971-01-01	4	26482
1971-01-15	4	26521
1971-01-29	4	26544
1971-02-12	4	26648
1971-02-26	4	26672
1971-03-12	5	26753
1971-03-26	5	26823
1971-04-09	5	26941
1971-04-23	5	27020
1971-05-07	6	27060
1971-05-21	6	27112
1971-06-04	6	27387
1971-06-18	6	27437
1971-07-02	6	27397
1971-07-16	6	27476
