	is_ML	Total
1960-01-01	0	0
1960-01-15	0	58
1960-01-29	0	58
1960-02-12	0	60
1960-02-26	0	60
1960-03-11	0	60
1960-03-25	0	60
1960-04-08	0	60
1960-04-22	0	60
1960-05-06	0	60
1960-05-20	0	60
1960-06-03	0	60
1960-06-17	0	60
1960-07-01	0	60
1960-07-15	0	60
1960-07-29	0	60
1960-08-12	0	60
1960-08-26	0	60
1960-09-09	0	60
1960-09-23	0	60
1960-10-07	0	60
1960-10-21	0	60
1960-11-04	0	60
1960-11-18	0	60
1960-12-02	0	60
1960-12-16	0	60
1960-12-30	0	60
1961-01-13	0	210
1961-01-27	0	210
1961-02-10	0	208
1961-02-24	0	208
1961-03-10	0	208
1961-03-24	0	208
1961-04-07	0	208
1961-04-21	0	208
1961-05-05	0	208
1961-05-19	0	208
1961-06-02	0	208
1961-06-16	0	208
1961-06-30	0	208
1961-07-14	0	208
1961-07-28	0	208
1961-08-11	0	208
1961-08-25	0	208
1961-09-08	0	208
1961-09-22	0	208
1961-10-06	0	208
1961-10-20	0	208
1961-11-03	0	208
1961-11-17	0	208
1961-12-01	0	208
1961-12-15	0	208
1961-12-29	0	208
1962-01-12	0	172
1962-01-26	0	172
1962-02-09	0	172
1962-02-23	0	172
1962-03-09	0	172
1962-03-23	0	172
1962-04-06	0	172
1962-04-20	0	172
1962-05-04	0	172
1962-05-18	0	172
1962-06-01	0	172
1962-06-15	0	172
1962-06-29	0	172
1962-07-13	0	172
1962-07-27	0	172
1962-08-10	0	172
1962-08-24	0	172
1962-09-07	0	172
1962-09-21	0	172
1962-10-05	0	172
1962-10-19	0	172
1962-11-02	0	172
1962-11-16	0	172
1962-11-30	0	172
1962-12-14	0	172
1962-12-28	0	172
1963-01-11	1	122
1963-01-25	1	120
1963-02-08	1	120
1963-02-22	1	120
1963-03-08	1	120
1963-03-22	1	120
1963-04-05	1	120
1963-04-19	1	120
1963-05-03	1	120
1963-05-17	1	120
1963-05-31	1	120
1963-06-14	1	120
1963-06-28	1	120
1963-07-12	1	120
1963-07-26	1	120
1963-08-09	1	120
1963-08-23	1	120
1963-09-06	1	120
1963-09-20	1	120
1963-10-04	1	120
1963-10-18	1	120
1963-11-01	1	120
1963-11-15	1	120
1963-11-29	1	120
1963-12-13	1	120
1963-12-27	1	120
1964-01-10	0	129
1964-01-24	0	127
1964-02-07	0	127
1964-02-21	0	127
1964-03-06	0	127
1964-03-20	0	127
1964-04-03	0	127
1964-04-17	0	127
1964-05-01	0	127
1964-05-15	0	127
1964-05-29	0	127
1964-06-12	0	127
1964-06-26	0	127
1964-07-10	0	127
1964-07-24	0	127
1964-08-07	0	127
1964-08-21	0	127
1964-09-04	0	127
1964-09-18	0	127
1964-10-02	0	127
1964-10-16	0	127
1964-10-30	0	127
1964-11-13	0	127
1964-11-27	0	127
1964-12-11	0	127
1964-12-25	0	127
1965-01-08	0	89
1965-01-22	0	79
1965-02-05	0	79
1965-02-19	0	79
1965-03-05	0	79
1965-03-19	0	79
1965-04-02	0	79
1965-04-16	0	79
1965-04-30	0	79
1965-05-14	0	79
1965-05-28	0	79
1965-06-11	0	79
1965-06-25	0	79
1965-07-09	0	79
1965-07-23	0	79
1965-08-06	0	79
1965-08-20	0	79
1965-09-03	0	79
1965-09-17	0	79
1965-10-01	0	79
1965-10-15	0	79
1965-10-29	0	79
1965-11-12	0	79
1965-11-26	0	79
1965-12-10	0	79
1965-12-24	0	79
1966-01-07	0	107
1966-01-21	0	121
1966-02-04	0	121
1966-02-18	0	121
1966-03-04	0	121
1966-03-18	0	121
1966-04-01	0	121
1966-04-15	0	121
1966-04-29	0	121
1966-05-13	0	121
1966-05-27	0	121
1966-06-10	0	121
1966-06-24	0	121
1966-07-08	0	121
1966-07-22	0	121
1966-08-05	0	121
1966-08-19	0	121
1966-09-02	0	121
1966-09-16	0	121
1966-09-30	0	121
1966-10-14	0	121
1966-10-28	0	121
1966-11-11	0	121
1966-11-25	0	121
1966-12-09	0	121
1966-12-23	0	121
1967-01-06	0	217
1967-01-20	0	216
1967-02-03	0	216
1967-02-17	0	216
1967-03-03	0	216
1967-03-17	0	216
1967-03-31	0	216
1967-04-14	0	216
1967-04-28	0	216
1967-05-12	0	216
1967-05-26	0	216
1967-06-09	0	216
1967-06-23	0	216
1967-07-07	0	216
1967-07-21	0	216
1967-08-04	0	216
1967-08-18	0	216
1967-09-01	0	216
1967-09-15	0	216
1967-09-29	0	216
1967-10-13	0	216
1967-10-27	0	216
1967-11-10	0	216
1967-11-24	0	216
1967-12-08	0	216
1967-12-22	0	216
1968-01-05	1	295
1968-01-19	1	277
1968-02-02	1	277
1968-02-16	1	277
1968-03-01	1	277
1968-03-15	1	277
1968-03-29	1	277
1968-04-12	1	277
1968-04-26	1	277
1968-05-10	1	277
1968-05-24	1	277
1968-06-07	1	277
1968-06-21	1	277
1968-07-05	1	277
1968-07-19	1	277
1968-08-02	1	277
1968-08-16	1	277
1968-08-30	1	277
1968-09-13	1	277
1968-09-27	1	277
1968-10-11	1	277
1968-10-25	1	277
1968-11-08	1	277
1968-11-22	1	277
1968-12-06	1	277
1968-12-20	1	277
1969-01-03	2	759
1969-01-17	2	774
1969-01-31	2	774
1969-02-14	2	774
1969-02-28	2	774
1969-03-14	2	774
1969-03-28	2	774
1969-04-11	2	774
1969-04-25	2	774
1969-05-09	2	774
1969-05-23	2	774
1969-06-06	2	774
1969-06-20	2	774
1969-07-04	2	774
1969-07-18	2	774
1969-08-01	2	774
1969-08-15	2	774
1969-08-29	2	774
1969-09-12	2	774
1969-09-26	2	774
1969-10-10	2	774
1969-10-24	2	774
1969-11-07	2	774
1969-11-21	2	774
1969-12-05	2	774
1969-12-19	2	774
1970-01-02	1	986
1970-01-16	1	1034
1970-01-30	1	1034
1970-02-13	1	1034
1970-02-27	1	1034
1970-03-13	1	1034
1970-03-27	1	1034
1970-04-10	1	1034
1970-04-24	1	1034
1970-05-08	1	1034
1970-05-22	1	1034
1970-06-05	1	1034
1970-06-19	1	1034
1970-07-03	1	1034
1970-07-17	1	1034
1970-07-31	1	1034
1970-08-14	1	1034
1970-08-28	1	1034
1970-09-11	1	1034
1970-09-25	1	1034
1970-10-09	1	1034
1970-10-23	1	1034
1970-11-06	1	1034
1970-11-20	1	1034
1970-12-04	1	1034
1970-12-18	1	1034
1971-01-01	0	1089
1971-01-15	1	1108
1971-01-29	1	1108
1971-02-12	1	1108
1971-02-26	1	1108
1971-03-12	1	1108
1971-03-26	1	1108
1971-04-09	1	1109
1971-04-23	1	1109
1971-05-07	1	1110
1971-05-21	1	1110
1971-06-04	1	1110
1971-06-18	1	1110
1971-07-02	1	1110
1971-07-16	1	1110
1971-07-30	1	1110
1971-08-13	1	1110
1971-08-27	1	1110
1971-09-10	1	1110
1971-09-24	1	1110
1971-10-08	1	1110
1971-10-22	1	1110
1971-11-05	1	1110
1971-11-19	1	1110
1971-12-03	1	1110
1971-12-17	1	1110
1971-12-31	1	1110
1972-01-14	2	1175
1972-01-28	2	1175
1972-02-11	2	1175
1972-02-25	2	1175
1972-03-10	2	1176
1972-03-24	2	1176
1972-04-07	2	1175
1972-04-21	2	1175
1972-05-05	2	1174
1972-05-19	2	1174
1972-06-02	2	1174
1972-06-16	2	1175
1972-06-30	2	1175
1972-07-14	2	1175
1972-07-28	2	1175
1972-08-11	2	1178
1972-08-25	2	1178
1972-09-08	2	1178
1972-09-22	2	1178
1972-10-06	2	1178
1972-10-20	2	1178
1972-11-03	2	1178
1972-11-17	2	1178
1972-12-01	2	1182
1972-12-15	2	1182
1972-12-29	2	1182
1973-01-12	6	1833
1973-01-26	6	1833
1973-02-09	6	1833
1973-02-23	6	1833
1973-03-09	6	1832
1973-03-23	6	1832
1973-04-06	6	1834
1973-04-20	6	1834
1973-05-04	6	1834
1973-05-18	6	1834
1973-06-01	6	1834
1973-06-15	6	1833
1973-06-29	6	1833
1973-07-13	6	1833
1973-07-27	6	1833
1973-08-10	6	1830
1973-08-24	6	1830
1973-09-07	6	1836
1973-09-21	6	1836
1973-10-05	6	1836
1973-10-19	6	1836
1973-11-02	6	1836
1973-11-16	6	1836
1973-11-30	6	1836
1973-12-14	6	1832
1973-12-28	6	1832
1974-01-11	5	2363
1974-01-25	5	2387
1974-02-08	5	2387
1974-02-22	5	2387
1974-03-08	5	2387
1974-03-22	5	2387
1974-04-05	5	2385
1974-04-19	5	2385
1974-05-03	5	2385
1974-05-17	5	2385
1974-05-31	5	2385
1974-06-14	5	2385
1974-06-28	5	2385
1974-07-12	5	2385
1974-07-26	5	2385
1974-08-09	5	2385
1974-08-23	5	2385
1974-09-06	5	2379
1974-09-20	5	2379
1974-10-04	5	2379
1974-10-18	5	2379
1974-11-01	5	2379
1974-11-15	5	2379
1974-11-29	5	2379
1974-12-13	5	2379
1974-12-27	5	2379
1975-01-10	8	2486
1975-01-24	8	2485
1975-02-07	8	2485
1975-02-21	8	2485
1975-03-07	8	2485
1975-03-21	8	2485
1975-04-04	8	2486
1975-04-18	8	2486
1975-05-02	8	2486
1975-05-16	8	2486
1975-05-30	8	2486
1975-06-13	8	2486
1975-06-27	8	2486
1975-07-11	8	2487
1975-07-25	8	2487
1975-08-08	8	2487
1975-08-22	8	2487
1975-09-05	8	2488
1975-09-19	8	2488
1975-10-03	8	2488
1975-10-17	8	2488
1975-10-31	8	2488
1975-11-14	8	2488
1975-11-28	8	2488
1975-12-12	8	2488
1975-12-26	8	2488
1976-01-09	2	2691
1976-01-23	2	2674
1976-02-06	2	2674
1976-02-20	2	2674
1976-03-05	2	2674
1976-03-19	2	2674
1976-04-02	2	2683
1976-04-16	2	2683
1976-04-30	2	2683
1976-05-14	2	2683
1976-05-28	2	2683
1976-06-11	2	2683
1976-06-25	2	2683
1976-07-09	2	2682
1976-07-23	2	2682
1976-08-06	2	2682
1976-08-20	2	2682
1976-09-03	2	2682
1976-09-17	2	2682
1976-10-01	2	2682
1976-10-15	2	2682
1976-10-29	2	2682
1976-11-12	2	2682
1976-11-26	2	2682
1976-12-10	2	2682
1976-12-24	2	2682
1977-01-07	4	2977
1977-01-21	4	2999
1977-02-04	4	2999
1977-02-18	4	2999
1977-03-04	4	2999
1977-03-18	4	2999
1977-04-01	4	2989
1977-04-15	4	2989
1977-04-29	4	2989
1977-05-13	4	2996
1977-05-27	4	2996
1977-06-10	4	2996
1977-06-24	4	2996
1977-07-08	4	2996
1977-07-22	4	2996
1977-08-05	4	2996
1977-08-19	4	2996
