	is_ML	Total
1960-01-01	0	0
1960-01-15	0	159
1960-01-29	0	159
1960-02-12	0	159
1960-02-26	0	159
1960-03-11	0	196
1960-03-25	0	196
1960-04-08	0	196
1960-04-22	0	196
1960-05-06	0	196
1960-05-20	0	196
1960-06-03	0	196
1960-06-17	0	196
1960-07-01	0	196
1960-07-15	0	196
1960-07-29	0	196
1960-08-12	0	196
1960-08-26	0	196
1960-09-09	0	196
1960-09-23	0	196
1960-10-07	0	196
1960-10-21	0	196
1960-11-04	0	196
1960-11-18	0	196
1960-12-02	0	196
1960-12-16	0	196
1960-12-30	0	196
1961-01-13	6	703
1961-01-27	6	703
1961-02-10	6	703
1961-02-24	6	703
1961-03-10	6	666
1961-03-24	6	666
1961-04-07	6	666
1961-04-21	6	666
1961-05-05	6	666
1961-05-19	6	666
1961-06-02	6	666
1961-06-16	6	666
1961-06-30	6	666
1961-07-14	6	666
1961-07-28	6	666
1961-08-11	6	666
1961-08-25	6	666
1961-09-08	9	724
1961-09-22	9	724
1961-10-06	9	724
1961-10-20	9	724
1961-11-03	9	724
1961-11-17	9	724
1961-12-01	9	724
1961-12-15	9	756
1961-12-29	9	756
1962-01-12	10	752
1962-01-26	10	752
1962-02-09	10	752
1962-02-23	10	752
1962-03-09	10	752
1962-03-23	10	752
1962-04-06	10	752
1962-04-20	10	785
1962-05-04	10	785
1962-05-18	10	785
1962-06-01	10	785
1962-06-15	10	785
1962-06-29	10	785
1962-07-13	10	785
1962-07-27	10	785
1962-08-10	10	785
1962-08-24	10	785
1962-09-07	7	727
1962-09-21	7	727
1962-10-05	7	727
1962-10-19	7	727
1962-11-02	7	727
1962-11-16	7	727
1962-11-30	7	727
1962-12-14	7	695
1962-12-28	7	695
1963-01-11	4	652
1963-01-25	3	634
1963-02-08	3	634
1963-02-22	3	634
1963-03-08	3	634
1963-03-22	3	634
1963-04-05	3	634
1963-04-19	3	601
1963-05-03	3	601
1963-05-17	3	601
1963-05-31	3	601
1963-06-14	3	601
1963-06-28	3	601
1963-07-12	3	601
1963-07-26	3	601
1963-08-09	3	601
1963-08-23	3	601
1963-09-06	3	601
1963-09-20	3	601
1963-10-04	3	601
1963-10-18	3	601
1963-11-01	3	601
1963-11-15	3	601
1963-11-29	3	601
1963-12-13	3	657
1963-12-27	3	657
1964-01-10	4	918
1964-01-24	4	928
1964-02-07	4	928
1964-02-21	4	928
1964-03-06	4	928
1964-03-20	4	928
1964-04-03	4	928
1964-04-17	4	928
1964-05-01	4	928
1964-05-15	4	928
1964-05-29	4	928
1964-06-12	4	928
1964-06-26	4	928
1964-07-10	4	928
1964-07-24	4	928
1964-08-07	4	928
1964-08-21	4	928
1964-09-04	4	928
1964-09-18	4	928
1964-10-02	4	928
1964-10-16	4	928
1964-10-30	4	928
1964-11-13	4	928
1964-11-27	4	928
1964-12-11	4	872
1964-12-25	4	872
1965-01-08	3	931
1965-01-22	3	885
1965-02-05	3	885
1965-02-19	3	885
1965-03-05	3	885
1965-03-19	3	885
1965-04-02	3	885
1965-04-16	3	885
1965-04-30	3	885
1965-05-14	3	885
1965-05-28	3	885
1965-06-11	3	885
1965-06-25	3	885
1965-07-09	3	885
1965-07-23	3	885
1965-08-06	3	885
1965-08-20	3	885
1965-09-03	3	885
1965-09-17	3	885
1965-10-01	3	885
1965-10-15	3	885
1965-10-29	3	885
1965-11-12	3	885
1965-11-26	3	885
1965-12-10	3	885
1965-12-24	3	885
1966-01-07	3	1038
1966-01-21	3	1164
1966-02-04	3	1164
1966-02-18	3	1164
1966-03-04	3	1164
1966-03-18	3	1164
1966-04-01	3	1164
1966-04-15	3	1164
1966-04-29	3	1164
1966-05-13	3	1164
1966-05-27	3	1164
1966-06-10	3	1164
1966-06-24	3	1164
1966-07-08	3	1164
1966-07-22	3	1180
1966-08-05	3	1180
1966-08-19	3	1180
1966-09-02	3	1180
1966-09-16	3	1180
1966-09-30	3	1180
1966-10-14	3	1180
1966-10-28	3	1180
1966-11-11	3	1180
1966-11-25	3	1180
1966-12-09	3	1180
1966-12-23	3	1180
1967-01-06	3	1335
1967-01-20	6	1407
1967-02-03	6	1407
1967-02-17	6	1407
1967-03-03	6	1407
1967-03-17	6	1407
1967-03-31	6	1407
1967-04-14	6	1407
1967-04-28	6	1407
1967-05-12	6	1407
1967-05-26	6	1407
1967-06-09	6	1407
1967-06-23	6	1407
1967-07-07	6	1407
1967-07-21	6	1391
1967-08-04	6	1391
1967-08-18	6	1391
1967-09-01	6	1391
1967-09-15	6	1391
1967-09-29	6	1391
1967-10-13	6	1391
1967-10-27	6	1391
1967-11-10	6	1391
1967-11-24	6	1391
1967-12-08	6	1391
1967-12-22	6	1391
1968-01-05	8	1556
1968-01-19	7	1614
1968-02-02	7	1614
1968-02-16	7	1614
1968-03-01	7	1614
1968-03-15	7	1614
1968-03-29	7	1614
1968-04-12	7	1614
1968-04-26	7	1614
1968-05-10	7	1614
1968-05-24	7	1614
1968-06-07	7	1614
1968-06-21	7	1614
1968-07-05	7	1614
1968-07-19	7	1614
1968-08-02	7	1614
1968-08-16	7	1614
1968-08-30	7	1614
1968-09-13	7	1614
1968-09-27	7	1614
1968-10-11	7	1614
1968-10-25	7	1614
1968-11-08	7	1614
1968-11-22	7	1614
1968-12-06	7	1614
1968-12-20	7	1614
1969-01-03	2	2082
1969-01-17	2	2012
1969-01-31	2	2012
1969-02-14	2	2012
1969-02-28	2	2012
1969-03-14	2	2013
1969-03-28	2	2013
1969-04-11	2	2013
1969-04-25	2	2013
1969-05-09	2	2041
1969-05-23	2	2041
1969-06-06	2	2041
1969-06-20	2	2041
1969-07-04	2	2041
1969-07-18	2	2041
1969-08-01	2	2055
1969-08-15	2	2055
1969-08-29	2	2055
1969-09-12	2	2070
1969-09-26	2	2070
1969-10-10	2	2070
1969-10-24	2	2070
1969-11-07	2	2070
1969-11-21	2	2070
1969-12-05	2	2070
1969-12-19	2	2070
1970-01-02	10	2466
1970-01-16	10	2517
1970-01-30	10	2517
1970-02-13	10	2517
1970-02-27	10	2517
1970-03-13	10	2516
1970-03-27	10	2516
1970-04-10	10	2540
1970-04-24	10	2540
1970-05-08	10	2512
1970-05-22	10	2512
1970-06-05	10	2513
1970-06-19	10	2513
1970-07-03	10	2513
1970-07-17	10	2513
1970-07-31	10	2513
1970-08-14	10	2499
1970-08-28	10	2499
1970-09-11	10	2499
1970-09-25	10	2485
1970-10-09	10	2487
1970-10-23	10	2487
1970-11-06	10	2498
1970-11-20	10	2498
1970-12-04	11	2499
1970-12-18	11	2499
1971-01-01	12	2888
1971-01-15	15	2889
1971-01-29	15	2889
1971-02-12	15	2904
1971-02-26	15	2904
1971-03-12	15	2928
1971-03-26	15	2928
1971-04-09	15	2905
1971-04-23	15	2905
1971-05-07	15	2907
1971-05-21	15	2907
1971-06-04	15	2906
1971-06-18	15	2906
1971-07-02	15	2906
1971-07-16	15	2906
1971-07-30	15	2906
1971-08-13	15	2924
1971-08-27	15	2924
1971-09-10	15	2923
1971-09-24	15	2923
1971-10-08	15	2921
1971-10-22	15	2921
1971-11-05	15	2910
1971-11-19	15	2912
1971-12-03	14	2915
1971-12-17	14	2915
1971-12-31	14	2915
1972-01-14	17	3477
1972-01-28	17	3477
1972-02-11	17	3463
1972-02-25	17	3463
1972-03-10	17	3440
1972-03-24	17	3440
1972-04-07	17	3439
1972-04-21	17	3439
1972-05-05	17	3437
1972-05-19	17	3468
1972-06-02	17	3490
1972-06-16	17	3490
1972-06-30	17	3490
1972-07-14	17	3507
1972-07-28	17	3507
1972-08-11	17	3490
1972-08-25	17	3490
1972-09-08	17	3492
1972-09-22	17	3492
1972-10-06	17	3493
1972-10-20	17	3493
1972-11-03	17	3497
1972-11-17	17	3495
1972-12-01	17	3497
1972-12-15	17	3497
1972-12-29	17	3497
1973-01-12	14	4015
1973-01-26	14	4015
1973-02-09	14	4014
1973-02-23	14	4014
1973-03-09	14	4016
1973-03-23	14	4016
1973-04-06	14	4052
1973-04-20	14	4060
1973-05-04	14	4060
1973-05-18	14	4029
1973-06-01	14	4008
1973-06-15	14	4008
1973-06-29	14	4008
1973-07-13	14	3996
1973-07-27	14	3996
1973-08-10	14	3996
1973-08-24	14	3996
1973-09-07	14	3994
1973-09-21	14	4023
1973-10-05	14	4023
1973-10-19	14	4023
1973-11-02	14	4019
1973-11-16	14	4031
1973-11-30	14	4031
1973-12-14	14	4025
1973-12-28	14	4025
1974-01-11	26	4761
1974-01-25	26	4778
1974-02-08	26	4778
1974-02-22	26	4778
1974-03-08	26	4777
1974-03-22	26	4777
1974-04-05	26	4775
1974-04-19	26	4751
1974-05-03	26	4752
1974-05-17	26	4752
1974-05-31	26	4752
1974-06-14	28	4908
1974-06-28	28	4908
1974-07-12	28	4905
1974-07-26	28	4905
1974-08-09	28	4913
1974-08-23	28	4913
1974-09-06	28	4916
1974-09-20	28	4887
1974-10-04	28	4886
1974-10-18	28	4886
1974-11-01	28	4888
1974-11-15	28	4876
1974-11-29	28	4876
1974-12-13	28	4877
1974-12-27	28	4877
1975-01-10	26	5054
1975-01-24	27	5063
1975-02-07	27	5063
1975-02-21	27	5063
1975-03-07	27	5061
1975-03-21	27	5061
1975-04-04	27	5064
1975-04-18	27	5046
1975-05-02	27	5046
1975-05-16	27	5064
1975-05-30	27	5064
1975-06-13	25	4931
1975-06-27	25	4931
1975-07-11	25	4931
1975-07-25	25	4931
1975-08-08	25	4924
1975-08-22	25	4927
1975-09-05	25	4926
1975-09-19	25	4926
1975-10-03	25	4929
1975-10-17	25	4975
1975-10-31	25	4975
1975-11-14	26	5006
1975-11-28	26	5006
1975-12-12	27	5033
1975-12-26	27	5033
1976-01-09	24	4853
1976-01-23	23	4867
1976-02-06	23	4882
1976-02-20	23	4882
1976-03-05	23	4913
1976-03-19	23	4913
1976-04-02	23	4920
1976-04-16	23	4942
1976-04-30	23	4942
1976-05-14	23	4923
1976-05-28	23	4923
1976-06-11	23	4912
1976-06-25	23	4937
1976-07-09	25	5081
1976-07-23	25	5087
1976-08-06	25	5085
1976-08-20	25	5109
1976-09-03	25	5108
1976-09-17	25	5145
1976-10-01	25	5145
1976-10-15	25	5135
1976-10-29	25	5135
1976-11-12	24	5125
1976-11-26	24	5125
1976-12-10	23	5099
1976-12-24	23	5099
1977-01-07	30	5659
1977-01-21	30	5703
1977-02-04	30	5760
1977-02-18	30	5746
1977-03-04	30	5746
1977-03-18	30	5733
1977-04-01	30	5724
1977-04-15	30	5733
1977-04-29	30	5733
1977-05-13	30	5830
1977-05-27	30	5830
1977-06-10	30	5817
1977-06-24	30	5841
1977-07-08	28	5702
1977-07-22	28	5696
1977-08-05	28	5701
1977-08-19	28	5771
1977-09-02	28	5776
1977-09-16	28	5798
1977-09-30	28	5798
1977-10-14	28	5839
1977-10-28	28	5839
1977-11-11	28	5821
1977-11-25	28	5821
1977-12-09	28	5839
1977-12-23	28	5863
1978-01-06	19	6382
1978-01-20	23	6541
1978-02-03	23	6525
1978-02-17	23	6558
1978-03-03	23	6564
1978-03-17	23	6585
1978-03-31	23	6585
1978-04-14	27	6699
1978-04-28	27	6699
1978-05-12	27	6603
1978-05-26	27	6603
1978-06-09	27	6642
1978-06-23	27	6593
1978-07-07	27	6586
1978-07-21	27	6617
1978-08-04	30	6655
1978-08-18	30	6601
1978-09-01	30	6597
1978-09-15	30	6560
1978-09-29	30	6560
1978-10-13	30	6560
1978-10-27	30	6560
1978-11-10	31	6577
1978-11-24	31	6577
1978-12-08	31	6562
1978-12-22	31	6571
1979-01-05	37	7267
1979-01-19	36	7422
1979-02-02	36	7417
1979-02-16	36	7407
1979-03-02	36	7401
1979-03-16	36	7485
1979-03-30	36	7485
1979-04-13	33	7460
1979-04-27	33	7460
1979-05-11	33	7461
1979-05-25	33	7461
1979-06-08	33	7526
1979-06-22	33	7507
1979-07-06	33	7509
1979-07-20	33	7505
1979-08-03	30	7489
1979-08-17	30	7487
1979-08-31	30	7487
1979-09-14	33	7564
1979-09-28	33	7564
1979-10-12	33	7577
1979-10-26	33	7577
1979-11-09	32	7574
1979-11-23	32	7574
1979-12-07	32	7572
1979-12-21	33	7561
1980-01-04	45	8822
1980-01-18	50	8503
1980-02-01	50	8469
1980-02-15	50	8447
1980-02-29	50	8447
1980-03-14	50	8390
1980-03-28	50	8390
1980-04-11	49	8293
1980-04-25	49	8270
1980-05-09	49	8324
1980-05-23	49	8324
1980-06-06	49	8370
1980-06-20	49	8307
1980-07-04	49	8307
1980-07-18	49	8331
1980-08-01	49	8304
1980-08-15	49	8300
