	is_ML	Total
1960-01-01	0	0
1960-01-15	0	0
1960-01-29	0	0
1960-02-12	0	12
1960-02-26	0	12
1960-03-11	0	37
1960-03-25	0	37
1960-04-08	0	74
1960-04-22	0	74
1960-05-06	0	93
1960-05-20	0	93
1960-06-03	0	108
1960-06-17	0	108
1960-07-01	0	139
1960-07-15	0	139
1960-07-29	0	139
1960-08-12	0	153
1960-08-26	0	153
1960-09-09	0	163
1960-09-23	0	163
1960-10-07	0	218
1960-10-21	0	218
1960-11-04	0	234
1960-11-18	0	234
1960-12-02	0	269
1960-12-16	0	269
1960-12-30	0	269
1961-01-13	0	998
1961-01-27	0	998
1961-02-10	0	1000
1961-02-24	0	1000
1961-03-10	0	1004
1961-03-24	0	1004
1961-04-07	0	1012
1961-04-21	0	1012
1961-05-05	0	1018
1961-05-19	0	1018
1961-06-02	0	1021
1961-06-16	0	1021
1961-06-30	0	1021
1961-07-14	0	1029
1961-07-28	0	1029
1961-08-11	0	1028
1961-08-25	0	1028
1961-09-08	0	1039
1961-09-22	0	1039
1961-10-06	0	1029
1961-10-20	0	1029
1961-11-03	0	1034
1961-11-17	0	1034
1961-12-01	0	1029
1961-12-15	0	1029
1961-12-29	0	1029
1962-01-12	3	1143
1962-01-26	3	1143
1962-02-09	3	1141
1962-02-23	3	1141
1962-03-09	3	1149
1962-03-23	3	1149
1962-04-06	3	1141
1962-04-20	3	1141
1962-05-04	3	1135
1962-05-18	3	1135
1962-06-01	3	1128
1962-06-15	3	1128
1962-06-29	3	1128
1962-07-13	3	1128
1962-07-27	3	1128
1962-08-10	3	1138
1962-08-24	3	1138
1962-09-07	3	1134
1962-09-21	3	1134
1962-10-05	3	1136
1962-10-19	3	1136
1962-11-02	3	1129
1962-11-16	3	1129
1962-11-30	3	1129
1962-12-14	3	1136
1962-12-28	3	1136
1963-01-11	0	1038
1963-01-25	0	1038
1963-02-08	0	1043
1963-02-22	0	1043
1963-03-08	0	1029
1963-03-22	0	1029
1963-04-05	0	1036
1963-04-19	0	1036
1963-05-03	0	1028
1963-05-17	0	1028
1963-05-31	0	1028
1963-06-14	0	1031
1963-06-28	0	1031
1963-07-12	0	1036
1963-07-26	0	1036
1963-08-09	0	1027
1963-08-23	0	1027
1963-09-06	0	1014
1963-09-20	0	1014
1963-10-04	0	1008
1963-10-18	0	1008
1963-11-01	0	997
1963-11-15	0	997
1963-11-29	0	997
1963-12-13	0	995
1963-12-27	0	995
1964-01-10	0	1198
1964-01-24	0	1198
1964-02-07	0	1196
1964-02-21	0	1196
1964-03-06	0	1191
1964-03-20	0	1191
1964-04-03	0	1189
1964-04-17	0	1189
1964-05-01	0	1200
1964-05-15	0	1200
1964-05-29	0	1200
1964-06-12	0	1200
1964-06-26	0	1200
1964-07-10	0	1208
1964-07-24	0	1208
1964-08-07	0	1206
1964-08-21	0	1206
1964-09-04	0	1204
1964-09-18	0	1204
1964-10-02	0	1211
1964-10-16	0	1211
1964-10-30	1	1244
1964-11-13	1	1249
1964-11-27	1	1249
1964-12-11	1	1256
1964-12-25	1	1256
1965-01-08	1	1314
1965-01-22	1	1314
1965-02-05	1	1326
1965-02-19	1	1326
1965-03-05	1	1379
1965-03-19	1	1379
1965-04-02	1	1387
1965-04-16	1	1387
1965-04-30	1	1380
1965-05-14	1	1401
1965-05-28	1	1401
1965-06-11	1	1435
1965-06-25	1	1435
1965-07-09	1	1435
1965-07-23	1	1435
1965-08-06	1	1451
1965-08-20	1	1451
1965-09-03	1	1516
1965-09-17	1	1516
1965-10-01	1	1517
1965-10-15	1	1517
1965-10-29	0	1484
1965-11-12	0	1512
1965-11-26	0	1545
1965-12-10	0	1688
1965-12-24	0	1688
1966-01-07	0	1915
1966-01-21	0	1915
1966-02-04	0	1936
1966-02-18	0	1936
1966-03-04	0	1981
1966-03-18	0	1981
1966-04-01	0	1980
1966-04-15	0	1980
1966-04-29	0	1989
1966-05-13	0	1983
1966-05-27	0	1983
1966-06-10	0	2037
1966-06-24	0	2037
1966-07-08	0	2039
1966-07-22	0	2040
1966-08-05	0	2057
1966-08-19	0	2057
1966-09-02	0	2056
1966-09-16	0	2056
1966-09-30	0	2056
1966-10-14	0	2051
1966-10-28	0	2051
1966-11-11	0	2074
1966-11-25	0	2041
1966-12-09	0	1958
1966-12-23	0	1958
1967-01-06	0	2124
1967-01-20	0	2124
1967-02-03	0	2129
1967-02-17	0	2129
1967-03-03	0	2120
1967-03-17	0	2120
1967-03-31	0	2120
1967-04-14	0	2119
1967-04-28	0	2214
1967-05-12	0	2230
1967-05-26	0	2230
1967-06-09	0	2279
1967-06-23	0	2279
1967-07-07	0	2274
1967-07-21	0	2273
1967-08-04	0	2269
1967-08-18	0	2269
1967-09-01	0	2289
1967-09-15	0	2289
1967-09-29	0	2289
1967-10-13	0	2297
1967-10-27	0	2297
1967-11-10	0	2281
1967-11-24	2	2362
1967-12-08	2	2394
1967-12-22	2	2394
1968-01-05	3	2676
1968-01-19	3	2676
1968-02-02	3	2685
1968-02-16	3	2685
1968-03-01	3	2690
1968-03-15	3	2690
1968-03-29	3	2690
1968-04-12	3	2704
1968-04-26	3	2600
1968-05-10	3	2594
1968-05-24	3	2594
1968-06-07	3	2573
1968-06-21	3	2573
1968-07-05	3	2570
1968-07-19	3	2570
1968-08-02	3	2575
1968-08-16	3	2575
1968-08-30	3	2575
1968-09-13	3	2564
1968-09-27	3	2564
1968-10-11	3	2563
1968-10-25	3	2563
1968-11-08	3	2569
1968-11-22	1	2488
1968-12-06	1	2503
1968-12-20	1	2503
1969-01-03	1	2876
1969-01-17	1	2876
1969-01-31	1	2876
1969-02-14	1	2896
1969-02-28	1	2896
1969-03-14	1	2870
1969-03-28	1	2870
1969-04-11	1	2863
1969-04-25	1	2863
1969-05-09	1	2898
1969-05-23	1	2898
1969-06-06	1	2837
1969-06-20	1	2837
1969-07-04	1	2866
1969-07-18	1	2866
1969-08-01	1	2874
1969-08-15	1	2874
1969-08-29	1	2874
1969-09-12	1	2878
1969-09-26	1	2878
1969-10-10	1	2880
1969-10-24	1	2880
1969-11-07	1	2916
1969-11-21	1	2916
1969-12-05	1	2867
1969-12-19	1	2867
1970-01-02	2	3539
1970-01-16	2	3539
1970-01-30	2	3539
1970-02-13	2	3514
1970-02-27	2	3514
1970-03-13	2	3523
1970-03-27	2	3523
1970-04-10	2	3544
1970-04-24	2	3544
1970-05-08	2	3521
1970-05-22	2	3521
1970-06-05	2	3531
1970-06-19	2	3531
1970-07-03	2	3527
1970-07-17	2	3527
1970-07-31	2	3527
1970-08-14	2	3523
1970-08-28	2	3523
1970-09-11	2	3507
1970-09-25	2	3507
1970-10-09	2	3540
1970-10-23	2	3540
1970-11-06	2	3537
1970-11-20	2	3537
1970-12-04	2	3553
1970-12-18	2	3553
1971-01-01	3	3896
1971-01-15	3	3896
1971-01-29	3	3896
1971-02-12	3	3897
1971-02-26	3	3897
1971-03-12	3	3902
1971-03-26	3	3902
1971-04-09	3	3883
1971-04-23	3	3883
1971-05-07	3	3906
1971-05-21	3	3906
1971-06-04	3	3918
1971-06-18	3	3918
1971-07-02	3	3936
1971-07-16	3	3936
1971-07-30	3	3936
1971-08-13	3	3933
