	is_ML	Basic ML	Deep Learning	Support Vector	Trees	Shrinkage	Recognition	Gradient Boost	ML Eval
ECON	0.005752524205726468	0.002204127557516359	0.002821188523376662	0.0005069138068871583	0.0007769520030793829	0.000164628549432979	1.5396914695170697e-05	7.580019542237883e-05	0.000161075415272555
BUSI	0.012555150425386677	0.005425136939546809	0.006053643674142151	0.0014459817191948454	0.0016058138954098196	0.0001182092136589914	0.00011071708039891447	0.00015816725771273496	0.00017981119824184605
SOCI	0.010106881114538224	0.0040747930463985475	0.004880752598107033	0.0011486159746127685	0.0012005336144467508	6.675125121512e-05	0.0001317719144357739	0.00010012687682268	0.0002197846752971914
BIOC	0.005424053716698705	0.0017771365988218336	0.002560225537747759	0.0010328081477849716	0.0007532243007163192	0.00019138785167517746	2.363754343398606e-05	6.430428482579003e-05	0.00016304821626776406
COMP	0.07582494393951703	0.022803912048800484	0.04661455135555854	0.010007575485652861	0.005825378443681648	0.0004040888731040033	0.000711831170573111	0.0005433191206391367	0.0010072940025201242
DECI	0.06006653387454245	0.02345961382002779	0.03281363279975312	0.007235152801997493	0.006498348465630809	0.0008298277295352226	0.0004916950781765643	0.0009287573698890659	0.0011443353921526647
ENER	0.01797389336419439	0.004821840820610527	0.012229332446117814	0.0024563981842400367	0.0014193852601747544	0.0001101040842631344	7.599575381205472e-05	0.0002214049520508681	0.0002644891589364424
ENGI	0.039004965751733685	0.010560483494211941	0.024635658761623408	0.006518603147786757	0.002896802456972221	0.00022819516915992426	0.00028957389641732064	0.00033348095626233937	0.0006125718522322334
AGRI	0.005413827815375565	0.0012733943744469153	0.002703997930924314	0.0009234771628306781	0.0011151709396291386	0.00013743125267826127	1.3945975825284816e-05	6.0094477647136386e-05	0.000320250317587904
ARTS	0.008638995438649105	0.0032039499460667416	0.004778414120355815	0.0006046329394351277	0.0005127287326409883	3.0231646971756387e-05	0.000108833929098323	2.5394583456275364e-05	0.00016022772895030884
